Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1769057753,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1769057754,10,,Aggregated,0.000000,0.000000,15,24,25,25,34,42,42,42,42,42,42,17,0,15,18.804683820823865,5.382832983741537,41.86416600714438,5078.35294117647
1769057755,20,,Aggregated,0.000000,0.000000,19,25,26,27,33,42,44,44,44,44,44,39,0,19,19.204255357647362,4.082708997884765,44.17620800086297,5082.589743589743
1769057756,30,,Aggregated,10.000000,0.000000,15,24,26,27,33,36,44,53,53,53,53,79,0,15,18.28902374689255,4.082708997884765,52.97874999814667,5085.227848101265
1769057757,40,,Aggregated,15.000000,0.000000,14,24,27,31,38,42,48,52,53,53,53,119,0,14,18.958032916020212,4.082708997884765,52.97874999814667,5084.243697478992
1769057758,50,,Aggregated,20.000000,0.000000,12,22,27,31,40,45,49,52,53,53,53,174,0,12,17.807093878636596,3.8807500095572323,52.97874999814667,5082.14367816092
1769057759,60,,Aggregated,25.250000,0.000000,10,14,24,26,35,42,49,50,53,53,53,241,0,10,15.38749930571525,3.6442920099943876,52.97874999814667,5082.746887966805
1769057760,70,,Aggregated,30.000000,0.000000,9,13,19,25,33,41,46,49,53,53,53,316,0,9,14.112169432982101,3.6442920099943876,52.97874999814667,5084.1740506329115
1769057761,80,,Aggregated,34.333333,0.000000,9,13,19,25,34,43,79,110,130,130,130,383,0,9,15.588559939415989,3.6442920099943876,134.32258300599642,5085.130548302872
1769057762,90,,Aggregated,39.714286,0.000000,9,13,21,26,41,49,74,110,130,130,130,487,0,9,16.405035771627468,3.526874992530793,134.32258300599642,5084.835728952772
1769057763,100,,Aggregated,44.250000,0.000000,9,13,19,26,41,48,69,100,130,130,130,587,0,9,16.2582385072721,3.526874992530793,134.32258300599642,5085.022146507667
1769057764,110,,Aggregated,48.333333,0.000000,9,12,18,25,41,48,62,79,130,130,130,706,0,9,15.8386303196584,3.526874992530793,134.32258300599642,5084.705382436261
1769057765,120,,Aggregated,53.200000,0.000000,9,12,17,24,38,47,60,79,130,130,130,823,0,9,15.347550376249083,3.356000001076609,134.32258300599642,5086.001215066829
1769057766,130,,Aggregated,63.000000,0.000000,9,13,18,24,36,45,57,75,130,130,130,955,0,9,15.186024294996693,3.356000001076609,134.32258300599642,5086.262827225131
1769057767,140,,Aggregated,72.400000,0.000000,9,12,17,23,36,45,57,74,120,130,130,1097,0,9,14.991947605052612,3.356000001076609,134.32258300599642,5086.216955332726
1769057768,150,,Aggregated,81.400000,0.000000,9,12,17,23,38,48,60,69,120,130,130,1254,0,9,15.20234136192345,3.356000001076609,134.32258300599642,5086.275119617225
1769057769,160,,Aggregated,91.400000,0.000000,9,12,18,23,38,48,60,68,120,130,130,1412,0,9,15.425020850403037,3.356000001076609,134.32258300599642,5085.926345609065
1769057770,170,,Aggregated,101.100000,0.000000,9,13,19,24,39,49,61,72,120,130,130,1591,0,9,15.807508969116641,3.221332997782156,134.32258300599642,5086.280326838466
1769057771,180,,Aggregated,111.100000,0.000000,9,13,18,23,39,49,60,69,120,130,130,1773,0,9,15.61329229051645,3.221332997782156,134.32258300599642,5086.25155104343
1769057772,190,,Aggregated,120.000000,0.000000,9,14,19,25,42,53,68,79,120,130,130,1960,0,9,16.59798275115686,3.221332997782156,134.32258300599642,5086.031632653061
1769057773,200,,Aggregated,130.700000,0.000000,10,14,20,26,42,52,67,78,110,130,130,2163,0,10,16.79953056551166,3.221332997782156,134.32258300599642,5086.099861303745
1769057774,200,,Aggregated,141.300000,0.000000,10,14,19,24,41,52,65,76,110,130,130,2360,0,10,16.29476468569611,3.221332997782156,134.32258300599642,5086.220338983051
1769057775,200,,Aggregated,150.100000,0.000000,10,14,19,23,39,51,65,75,110,130,130,2554,0,10,15.910047294559963,3.221332997782156,134.32258300599642,5086.205168363352
1769057776,200,,Aggregated,158.600000,0.000000,10,14,19,23,40,51,65,76,110,130,130,2746,0,10,16.204668485994237,3.221332997782156,134.32258300599642,5086.402403495994
1769057777,200,,Aggregated,168.000000,0.000000,10,14,19,23,39,51,65,75,110,130,130,2938,0,10,16.056693426971393,3.221332997782156,134.32258300599642,5086.345132743363
1769057778,200,,Aggregated,174.500000,0.000000,10,14,19,23,38,50,65,74,110,130,130,3134,0,10,15.76271914033525,3.221332997782156,134.32258300599642,5086.192086790044
1769057779,200,,Aggregated,179.500000,0.000000,10,14,19,23,36,49,63,74,110,130,130,3331,0,10,15.677891013094934,3.221332997782156,134.32258300599642,5085.916841789252
1769057780,200,,Aggregated,184.800000,0.000000,10,14,19,22,36,48,62,72,110,130,130,3525,0,10,15.328073891371831,3.221332997782156,134.32258300599642,5085.873758865248
1769057781,200,,Aggregated,189.200000,0.000000,9,13,18,21,34,48,61,72,110,130,130,3718,0,9,15.00464774933705,3.0945409962441772,134.32258300599642,5086.150887573965
1769057782,200,,Aggregated,191.200000,0.000000,9,13,18,21,34,47,61,70,110,130,130,3920,0,9,14.859805748480484,3.0945409962441772,134.32258300599642,5086.238010204082
