Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/deployments/,12545,12545,19000.0,16721.86321816892,1.6159169899765402,34878.44095900073,121823.31941012356,52.3586929830651,52.3586929830651,19000,20000,20000,20000,21000,25000,26000,27000,34000,35000,35000
,Aggregated,12545,12545,19000.0,16721.86321816892,1.6159169899765402,34878.44095900073,121823.31941012356,52.3586929830651,52.3586929830651,19000,20000,20000,20000,21000,25000,26000,27000,34000,35000,35000
