Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/cab/0fbe36ee-18da-48b1-b850-5c5c45e5758c/reject/,1,0,12.120166997192428,12.120166997192428,12.120166997192428,12.120166997192428,32.0,0.0033709517814487487,0.0,12,12,12,12,12,12,12,12,12,12,12
POST,/api/v1/cab/0fbf5742-5e03-4c04-ba87-cc1949647645/reject/,1,1,5.161040986422449,5.161040986422449,5.161040986422449,5.161040986422449,126.0,0.0033709517814487487,0.0033709517814487487,5,5,5,5,5,5,5,5,5,5,5
POST,/api/v1/cab/0fc75e9c-c8a6-4bc7-bc07-560a4b75e90c/reject/,1,1,11.137291003251448,11.137291003251448,11.137291003251448,11.137291003251448,126.0,0.0033709517814487487,0.0033709517814487487,11,11,11,11,11,11,11,11,11,11,11
POST,/api/v1/cab/1019061b-8fee-4523-8e60-0b4d297d6780/reject/,1,1,2.8805409965571016,2.8805409965571016,2.8805409965571016,2.8805409965571016,126.0,0.0033709517814487487,0.0033709517814487487,3,3,3,3,3,3,3,3,3,3,3
POST,/api/v1/cab/116dfa08-5ef2-4917-9c97-6e2352474a71/reject/,1,0,4.701375000877306,4.701375000877306,4.701375000877306,4.701375000877306,32.0,0.0033709517814487487,0.0,5,5,5,5,5,5,5,5,5,5,5
POST,/api/v1/cab/1170c4f8-75ae-410e-9a8c-36ffd7df521d/reject/,1,0,5.030125001212582,5.030125001212582,5.030125001212582,5.030125001212582,32.0,0.0033709517814487487,0.0,5,5,5,5,5,5,5,5,5,5,5
POST,/api/v1/cab/152b9af9-4651-4f36-8f95-a1656d673098/approve/,1,0,30.624209000961855,30.624209000961855,30.624209000961855,30.624209000961855,32.0,0.0033709517814487487,0.0,31,31,31,31,31,31,31,31,31,31,31
POST,/api/v1/cab/180ccf43-17ea-4eed-ba25-69d2d1a3e126/reject/,1,0,5.316499999025837,5.316499999025837,5.316499999025837,5.316499999025837,32.0,0.0033709517814487487,0.0,5,5,5,5,5,5,5,5,5,5,5
POST,/api/v1/cab/183308a6-40c0-4c1d-805e-a33293e3f102/reject/,1,0,11.33983299951069,11.33983299951069,11.33983299951069,11.33983299951069,32.0,0.0033709517814487487,0.0,11,11,11,11,11,11,11,11,11,11,11
POST,/api/v1/cab/1851b818-236c-4714-b848-4b31cd30e946/reject/,1,0,5.467417009640485,5.467417009640485,5.467417009640485,5.467417009640485,32.0,0.0033709517814487487,0.0,5,5,5,5,5,5,5,5,5,5,5
POST,/api/v1/cab/190b7abd-70d8-4f47-abc3-8f40cf8ab7b8/reject/,1,0,12.038624990964308,12.038624990964308,12.038624990964308,12.038624990964308,32.0,0.0033709517814487487,0.0,12,12,12,12,12,12,12,12,12,12,12
POST,/api/v1/cab/1a80da21-3446-4711-a056-5d2a898e64e8/reject/,1,1,4.179916984867305,4.179916984867305,4.179916984867305,4.179916984867305,126.0,0.0033709517814487487,0.0033709517814487487,4,4,4,4,4,4,4,4,4,4,4
POST,/api/v1/cab/1ab1cf68-135c-4529-83d6-058c8afa4b89/reject/,1,1,3.3810000168159604,3.3810000168159604,3.3810000168159604,3.3810000168159604,126.0,0.0033709517814487487,0.0033709517814487487,3,3,3,3,3,3,3,3,3,3,3
